UL_1,UL_2,LL_1,LL_2,JAW_1,JAW_2,TT_1,TT_2,TF_1,TF_2,TD_1,TD_2,TR_1,TR_2,LX,JA,UY,LY,CL,CA,NA,GW,TL,TA,F0a,PIa,SPIa,HX,LX_vl,JA_vl,UY_vl,LY_vl,CL_vl,CA_vl,NA_vl,GW_vl,TL_vl,TA_vl,F0a_vl,PIa_vl,SPIa_vl,HX_vl,PRO,LA,TBCL,TBCD,VEL,GLO,TTCL,TTCD,TTCR,F0,PI,SPI,TRt,gPRO,gLA,gTBCL,gTBCD,gVEL,gGLO,gTTCL,gTTCD,gTTCR,gF0,gPI,gSPI,gTR
137.5,130.26785714285714,134.37155940670633,118.12089115968621,125.26441654956346,117.13874830254335,114.70958379619479,110.57380142563572,82.57481229143868,130.06916979174005,68.05386946350065,124.05439833396379,62.039098005724384,109.53345550602576,0.09107142857142858,1.2587587729721108,-0.009821428571428571,0.009821428571428571,0.7728926257244633,-0.26635296396476277,0.19974756893614207,6.516971251886159e-06,0.34778235683269626,0.06293306172644277,125,0,0,0,0,0.01784248099879685,0,0,0.1141414219138605,-0.2755917836066776,0.00978047711225419,-0.000574693738124557,-0.1758225580027285,-0.8851625708094204,0,0,0,0,9.107142857142858,11.21715241486118,158.75490398192989,10.692247042493985,0.19974756893614207,6.516971251886159e-06,9.43284785594149,16.302670902328604,56.39341670458328,125,0,0,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.374536591385,118.13012193403982,125.26739373424215,117.14797907689696,114.59496077011578,110.463516100228,82.56871810520369,129.95777298594683,68.04777527726566,123.94300152817057,62.033003819489394,109.42205870023254,0.09107142857142858,1.2588447135802285,-0.009821428571428571,0.009821428571428571,0.7734511804665345,-0.2676879682660121,0.19979215327484978,4.162557624031769e-06,0.3468888357474829,0.05866110601076655,125,0,0,0,0,0.016533762248319105,0,0,0.10928047491461307,-0.2584099368930609,0.008053258370835214,-0.0003670717130171988,-0.1815858760826017,-0.8236197154610654,0,0,0,0,9.107142857142858,11.207921640507568,159.41003356198487,10.7263263629224,0.19979215327484978,4.162557624031769e-06,9.213979463343549,16.43360321789931,56.29694838141986,125,0,0,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.3772935704053,118.1386723823297,125.27015071326244,117.15652952518684,114.4829283006423,110.36637165175911,82.5636455255025,129.8526692645135,68.04270269756447,123.83789780673726,62.0279312397882,109.31695497879923,0.09107142857142858,1.2589243180731107,-0.009821428571428571,0.009821428571428571,0.7739849484737489,-0.26893961722965937,0.19982886391162039,2.6587329149825864e-06,0.34597007241157124,0.05468596281619432,125,0,0,0,0,0.015308034904545126,0,0,0.10422672797115005,-0.24224964856583683,0.006630996337408219,-0.0002344581706024738,-0.18591945828206666,-0.7664375623678279,0,0,0,0,9.107142857142858,11.199371192217683,160.0310725919926,10.757997545482462,0.19982886391162039,2.6587329149825864e-06,9.023407156331713,16.559574924873754,56.21076074503832,125,0,0,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.37984485654135,118.1465869750235,125.2727019993985,117.16444411788063,114.37335044760073,110.2810092443737,82.55936493038266,129.75360912362467,68.03842210244463,123.73883766584842,62.023650644668365,109.21789483791039,0.09107142857142858,1.2589980009431385,-0.009821428571428571,0.009821428571428571,0.774493175809553,-0.27011291999784603,0.19985909108312697,1.6982012867283862e-06,0.3450328161657951,0.05098661270203448,125,0,0,0,0,0.014165113106634982,0,0,0.09906420635051269,-0.2270714587088212,0.005459872265227684,-0.00014975448069920634,-0.18898304002837507,-0.713302483296108,0,0,0,0,9.107142857142858,11.191456599523896,160.61921253967208,10.787319019851548,0.19985909108312697,1.6982012867283862e-06,8.858460005458907,16.681050549283228,56.13347969458963,125,0,0,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.382204779198,118.15390969906646,125.27506192205514,117.1717668419236,114.26612362454122,110.20620370574309,82.55568434699113,129.66033486148854,68.0347415190531,123.64556340371229,62.01997006127684,109.12462057577426,0.09107142857142858,1.2590661721062295,-0.009821428571428571,0.009821428571428571,0.7749754955765958,-0.2712126791353636,0.1998839796554655,1.0846849617705335e-06,0.3440830545335519,0.04754354733026085,125,0,0,0,0,0.01310335212972394,0,0,0.09386370046661792,-0.21283219629821468,0.004495556670188572,-9.565204928393462e-05,-0.19092161286890766,-0.6639236654133427,0,0,0,0,9.107142857142858,11.184133875480928,161.17567347109602,10.814366370771566,0.1998839796554655,1.0846849617705335e-06,8.716682111587536,16.79841213522588,56.06391679401121,125,0,0,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.3843872668095,118.16068337320314,125.27724440966665,117.17854051606028,114.16117199105591,110.14085120123168,82.5524448079954,129.57258437443483,68.03150198005737,123.55781291665858,62.01673052228111,109.03687008872055,0.09107142857142858,1.259129230536157,-0.009821428571428571,0.009821428571428571,0.7754318651365077,-0.2722434756083546,0.19990447239538262,6.928162612323602e-07,0.34312608381204257,0.044338659573380006,125,0,0,0,0,0.012120019841309579,0,0,0.08868412349812597,-0.19948639289817893,0.0037015392966539065,-6.109543093133468e-05,-0.19186667573482377,-0.6180314373389955,0,0,0,0,9.107142857142858,11.17736020134425,161.70169570342472,10.839228279171408,0.19990447239538262,6.928162612323602e-07,8.595820543757496,16.91197206697594,56.00104649619811,125,0,0,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.38640568839566,118.16694914688858,125.2792628312528,117.18480628974572,114.05844292979957,110.08395781107984,82.54951608128101,129.49009435042976,68.02857325334298,123.47532289265351,62.01380179556672,108.95438006471548,0.09107142857142858,1.2591875596079674,-0.009821428571428571,0.009821428571428571,0.7758625100185015,-0.27320966016292525,0.1999213456233356,4.425196151373668e-07,0.34216657366094827,0.041355141683075435,125,0,0,0,0,0.011211608882790464,0,0,0.08357382929937429,-0.18698742893007042,0.0030477518845446507,-3.902322750666264e-05,-0.19193738470289237,-0.575375718782833,0,0,0,0,9.107142857142858,11.171094427658812,162.198531446704,10.862003014628973,0.1999213456233356,4.425196151373668e-07,8.493812532524949,17.021984444698827,55.94398564386758,125,0,0,0,0,0,0.7500000000000002,0.7500000000000002,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.39054493794882,118.17980251285681,125.28340208080597,117.19765965571395,113.95324109732618,110.04088049270742,82.54739035436566,129.42444311452755,68.02644752642763,123.4096716567513,62.01167606865137,108.88872882881327,0.09107142857142858,1.2593072101820224,-0.009821428571428571,0.009821428571428571,0.7762074131661924,-0.27404966353914234,0.19993523858504883,2.8264869163578565e-07,0.3412086261760131,0.03857739092460689,125,0,0,0,0,0.03664862073923324,0,0,0.054387429776951914,-0.14901392155676227,0.002509432800750367,-2.4925141893969843e-05,-0.19124160927116549,-0.5357245846045856,0,0,0,0,9.107142857142858,11.158241061690571,162.5953120689206,10.879831252019102,0.19993523858504883,2.8264869163578565e-07,8.425949191372746,17.132317812150994,55.88021921804926,125,0,0,0,0,0,0.24999999999999994,0.24999999999999994,1,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.39827512770552,118.20382073802224,125.29113227056266,117.22167788087938,113.8420374093249,110.01854612316075,82.54792476587642,129.38969303977814,68.02698193793839,123.37492158200189,62.012210480162125,108.85397875406386,0.09107142857142858,1.2595307808538219,-0.009821428571428571,0.009821428571428571,0.7764039657113367,-0.27464244759297574,0.19994667764533924,1.8053500941110125e-07,0.3402558298964808,0.03599092212606767,125,0,0,0,0,0.05277964798058308,0,0,0.02423358828079974,-0.08809969997659602,0.002066191315417406,-1.59203309959039e-05,-0.18987690254176676,-0.4988629348111008,0,0,0,0,9.107142857142858,11.134222836525137,162.80287084305152,10.890675827657608,0.19994667764533924,1.8053500941110125e-07,8.41125907978471,17.245478733737958,55.795287236143885,125,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
137.5,130.26785714285714,134.40674233531178,118.23015008062606,125.29959947816891,117.2480072234832,113.73104060988577,110.01544408583213,82.55366891880061,129.38213859587654,68.03272609086258,123.36736713810028,62.01795463308632,108.84642431016225,0.09107142857142858,1.2597758458012178,-0.009821428571428571,0.009821428571428571,0.7764935999769287,-0.27492766967878357,0.19748864255696244,1.1531236686234101e-07,0.3393113091598027,0.03358228663244431,125,0,0,0,0,0.045246330977842884,0,0,0.01162011795597012,-0.025989134346532737,-0.9852802266661429,-1.0168726023600184e-05,-0.1879313921294783,-0.464591262638245,0,0,0,0,9.107142857142858,11.107893493921333,162.83760983231647,10.898395053109866,0.19748864255696244,1.1531236686234101e-07,8.444477984987754,17.355606172721252,55.69433155489565,125,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
